motifs,original,permutations
'-M2 P5 M2 M2',1,0
'-m2 m2 -m3 P1',1,1
'-M2 -M2 M2 -P4',1,0
'm2 M2',15,21
'm2 -m3 P1 P5',1,0
'-M3 P4 -m2 -M2',1,3
'-m6 m3 M2',1,0
'P1 M2',5,1
'P5 M3 P1 -M2',1,0
'P4 M2 m2',1,0
'P8 -m2',4,0
'-M3 P5',1,0
'm2 P1',3,0
'-P4 P4 -M2',1,0
'-P8 M2',1,0
'-P5 m6',1,0
'M2 M2 -P5 m3',2,2
'm2 -P8',1,0
'P4 -m2 m2 -m3',1,0
'M2 m2 P1 -m6',1,0
'm6 -m2 -M2 -M2',1,0
'-P5 P5 M3 P1',1,0
'M2 -P5 m6 -m2',1,0
'P4 -m2 P4',2,0
'-P5 P4 -m2 m2',1,0
'-m2 -M3 m3',1,3
'P1 -m3 -M2',1,0
'm2 P1 -m6 m3',1,0
'-M2 -P5 M2',1,2
'M2 m3 -m2 P1',1,0
'P5 -M2',1,2
'-m2 -M3 m3 -m2',1,0
'-P5 m3 M2',1,3
'M2 -P5 m6',1,0
'P4 -m2 -M3 m3',1,0
'-M2 m2',1,0
'-M3 M2 M2 -M3',1,1
'-m3 m2 -m2',2,3
'm2 -P5 -m2 -M2',1,0
'm3 -P5 P8 -m2',1,0
'-P5 P8 -M2 -M2',1,0
'-P5 m3 -m2',1,0
'-P4 m3 -m2 -M2',1,0
'M2 m2 -P5 P5',1,0
'P1 -M2 -M2 P4',1,0
'-P4 m2 P1 -m2',1,0
'-P5 m6 -m2',1,0
'-M2 -M2 -m2 m2',2,1
'-M3 P8 -m2 -M2',2,0
'-P4 M2',2,4
'-M2 P5 m3',1,0
'-M2 -M2 P8 M2',1,0
'P1 -m2 -M3',1,0
'-M2 P8 M2',1,0
'-m6 m3 M2 M2',1,0
'm2 M2 -P4 P4',1,0
'P8 -m2 -M2',3,1
'-m3 P4 -P5 P5',1,0
'm3 -m2 -M2 m3',1,0
'-P4 m3',1,0
'-P8 M2 m2 -m3',1,0
'M2 m3',5,3
